GAS_LINES,gas_line_predet_build_year,gas_line_predet_cap,gas_line_removed_cap
AL_FL,1990,1021445,0
AL_FL,1991,0,1021445
AL_FL,1994,1145885,0
AL_FL,1995,554795,0
AL_FL,1998,25925,0
AL_FL,2001,207400,0
AL_FL,2002,1480836,0
AL_FL,2003,260287,0
AL_FL,2008,160735,0
AL_FL,2010,49776,0
AL_FL,2011,1014186,0
AL_FL,2012,41480,0
AL_FL,2022,98515,0
AL_GA,1990,5052264,0
AL_GA,1991,0,5052264
AL_GA,1994,5142483,0
AL_GA,1995,119255,0
AL_GA,1996,57035,0
AL_GA,1997,150365,0
AL_GA,1998,157624,0
AL_GA,2000,207400,0
AL_GA,2001,17629,0
AL_GA,2002,487390,0
AL_GA,2003,674050,0
AL_GA,2004,198067,0
AL_GA,2010,129625,0
AL_GA,2011,227103,0
AL_GA,2012,228140,0
AL_GA,2017,860710,0
AL_GA,2022,537166,0
AL_MS,1990,11289819,0
AL_MS,1991,0,11289819
AL_MS,1994,11863280,0
AL_MS,1995,496723,0
AL_MS,1996,57035,0
AL_MS,1997,150365,0
AL_MS,2001,82960,0
AL_MS,2002,692716,0
AL_MS,2003,910486,0
AL_MS,2004,173179,0
AL_MS,2008,3678239,0
AL_MS,2009,1589721,0
AL_MS,2011,129625,0
AL_MS,2012,129625,0
AL_MS,2014,529907,0
AL_MS,2015,46665,0
AL_MS,2022,663680,0
AL_TN,1990,3887713,0
AL_TN,1991,0,3887713
AL_TN,1994,4234071,0
AL_TN,2004,59109,0
AL_TN,2022,0,0
AR_LA,1990,7709058,0
AR_LA,1991,0,7709058
AR_LA,1994,8001492,0
AR_LA,1997,15555,0
AR_LA,2000,0,256139
AR_LA,2001,434503,0
AR_LA,2022,0,0
AR_MO,1990,2915007,0
AR_MO,1991,0,2915007
AR_MO,1994,2863157,0
AR_MO,1996,2074,0
AR_MO,1997,0,2074
AR_MO,2022,0,0
AR_MS,1990,8822796,0
AR_MS,1991,0,8822796
AR_MS,1994,9020863,0
AR_MS,2000,0,264435
AR_MS,2009,1002779,0
AR_MS,2010,2074000,0
AR_MS,2022,0,0
AR_OK,1990,1910154,0
AR_OK,1991,0,1910154
AR_OK,1994,1910154,0
AR_OK,1999,165920,0
AR_OK,2006,25925,0
AR_OK,2009,136884,0
AR_OK,2022,0,0
AR_TN,1990,25925,0
AR_TN,1991,0,25925
AR_TN,1994,25925,0
AR_TN,2022,0,0
AR_TX,1990,1919487,0
AR_TX,1991,0,1919487
AR_TX,1994,2148664,0
AR_TX,2011,116144,0
AR_TX,2022,0,0
AZ_CA,1990,3608760,0
AZ_CA,1991,0,3608760
AZ_CA,1994,5003525,0
AZ_CA,2002,964410,0
AZ_CA,2005,520574,0
AZ_CA,2022,530944,0
AZ_CO,2022,0,0
AZ_NM,1990,4221627,0
AZ_NM,1991,0,4221627
AZ_NM,1994,5418325,0
AZ_NM,2000,141032,0
AZ_NM,2002,328729,0
AZ_NM,2004,331840,0
AZ_NM,2011,0,194956
AZ_NM,2022,437614,0
AZ_NV,1990,171105,0
AZ_NV,1991,0,171105
AZ_NV,1994,171105,0
AZ_NV,2022,0,0
AZ_UT,2022,0,0
CA_NV,1990,21777,0
CA_NV,1991,0,21777
CA_NV,1994,757010,0
CA_NV,1997,13481,0
CA_NV,2001,139995,0
CA_NV,2003,933300,0
CA_NV,2010,150365,0
CA_NV,2011,275842,0
CA_NV,2022,0,0
CA_OR,1990,1171810,0
CA_OR,1991,0,1171810
CA_OR,1994,1856230,0
CA_OR,1995,114070,0
CA_OR,1998,76738,0
CA_OR,2000,20740,0
CA_OR,2002,270657,0
CA_OR,2022,15555,0
CO_KS,1990,435540,0
CO_KS,1991,0,435540
CO_KS,1994,466650,0
CO_KS,1997,31110,0
CO_KS,2000,89182,0
CO_KS,2004,580720,0
CO_KS,2005,284138,0
CO_KS,2007,30073,0
CO_KS,2008,93330,0
CO_KS,2022,0,0
CO_NE,1990,442799,0
CO_NE,1991,0,442799
CO_NE,1994,501389.5,0
CO_NE,1997,439169.5,0
CO_NE,2002,335988,0
CO_NE,2004,64294,0
CO_NE,2008,1555500,0
CO_NE,2009,311100,0
CO_NE,2014,0,264435
CO_NE,2022,0,0
CO_NM,1990,614941,0
CO_NM,1991,0,614941
CO_NM,1994,1017297,0
CO_NM,1995,54961,0
CO_NM,1996,255102,0
CO_NM,1998,145180,0
CO_NM,1999,311100,0
CO_NM,2004,282064,0
CO_NM,2022,0,0
CO_OK,1990,207400,0
CO_OK,1991,0,207400
CO_OK,1994,259250,0
CO_OK,2001,86071,0
CO_OK,2002,49776,0
CO_OK,2005,107848,0
CO_OK,2007,30073,0
CO_OK,2022,0,0
CO_UT,1990,428281,0
CO_UT,1991,0,428281
CO_UT,1994,544425,0
CO_UT,2008,77775,0
CO_UT,2009,127551,0
CO_UT,2022,0,0
CO_WY,1990,1447444.6,0
CO_WY,1991,0,1447444.6
CO_WY,1994,1500331.6,0
CO_WY,1996,19703,0
CO_WY,1997,230214,0
CO_WY,1998,72590,0
CO_WY,1999,277916,0
CO_WY,2000,138128.4,0
CO_WY,2001,714285.6,0
CO_WY,2006,777750,0
CO_WY,2007,674050,0
CO_WY,2008,445910,0
CO_WY,2009,368342.399999999,0
CO_WY,2022,230214,0
CT_MA,1990,83997,0
CT_MA,1991,0,83997
CT_MA,1994,83997,0
CT_MA,2001,86071,0
CT_MA,2022,0,0
CT_NY,1990,1088850,0
CT_NY,1991,0,1088850
CT_NY,1994,1558611,0
CT_NY,1995,70516,0
CT_NY,1998,36295,0
CT_NY,1999,30073,0
CT_NY,2000,15555,0
CT_NY,2001,13481,0
CT_NY,2002,62220,0
CT_NY,2004,238510,0
CT_NY,2008,433466,0
CT_NY,2016,354654,0
CT_NY,2017,116144,0
CT_NY,2022,96441,0
CT_RI,1990,689605,0
CT_RI,1991,0,689605
CT_RI,1994,788120,0
CT_RI,2016,354654,0
CT_RI,2017,41480,0
CT_RI,2022,96441,0
DC_MD,1990,41480,0
DC_MD,1991,0,41480
DC_MD,1994,82960,0
DC_MD,2022,0,0
DC_VA,1990,103700,0
DC_VA,1991,0,103700
DC_VA,1994,124440,0
DC_VA,2003,62220,0
DC_VA,2022,0,0
DE_MD,1990,49776,0
DE_MD,1991,0,49776
DE_MD,1994,56723.9,0
DE_MD,1998,2592.5,0
DE_MD,2001,12236.6,0
DE_MD,2002,5185,0
DE_MD,2004,4873.90000000001,0
DE_MD,2005,19599.3,0
DE_MD,2006,27169.4,0
DE_MD,2007,10577.4,0
DE_MD,2008,11407,0
DE_MD,2022,63257,0
DE_NJ,1994,146217,0
DE_NJ,2022,0,0
DE_PA,1990,257176,0
DE_PA,1991,0,257176
DE_PA,1994,355691,0
DE_PA,1995,15555,0
DE_PA,1998,5185,0
DE_PA,1999,9333,0
DE_PA,2000,8296,0
DE_PA,2014,254065,0
DE_PA,2015,107848,0
DE_PA,2022,0,0
FL_GA,1990,44591,0
FL_GA,1991,0,44591
FL_GA,1994,58072,0
FL_GA,2007,368135,0
FL_GA,2016,243695,0
FL_GA,2017,860710,0
FL_GA,2022,230214,0
GA_NC,2022,0,0
GA_SC,1990,3315289,0
GA_SC,1991,0,3315289
GA_SC,1994,3366102,0
GA_SC,1995,119255,0
GA_SC,1996,57035,0
GA_SC,1997,197030,0
GA_SC,2002,238510,0
GA_SC,2003,520574,0
GA_SC,2004,198067,0
GA_SC,2011,227103,0
GA_SC,2012,98515,0
GA_SC,2022,306952,0
GA_TN,1990,64294,0
GA_TN,1991,0,64294
GA_TN,1994,64294,0
GA_TN,1998,92293,0
GA_TN,2002,73627,0
GA_TN,2022,0,0
IA_IL,1990,2878712,0
IA_IL,1991,0,2878712
IA_IL,1994,2997967,0
IA_IL,1995,51850,0
IA_IL,1996,22814,0
IA_IL,1998,808860,0
IA_IL,2000,1692384,0
IA_IL,2001,202215,0
IA_IL,2002,174216,0
IA_IL,2005,77775,0
IA_IL,2006,134810,0
IA_IL,2022,0,0
IA_MN,1990,1265140,0
IA_MN,1991,0,1265140
IA_MN,1994,1633275,0
IA_MN,1997,46665,0
IA_MN,1998,653310,0
IA_MN,2000,1692384,0
IA_MN,2002,174216,0
IA_MN,2005,77775,0
IA_MN,2022,0,0
IA_MO,1990,625311,0
IA_MO,1991,0,625311
IA_MO,1994,705160,0
IA_MO,2022,0,0
IA_NE,1990,3322548,0
IA_NE,1991,0,3322548
IA_NE,1994,3322548,0
IA_NE,2002,93330,0
IA_NE,2007,8296,0
IA_NE,2022,0,0
IA_SD,1990,80886,0
IA_SD,1991,0,80886
IA_SD,1994,80886,0
IA_SD,2007,16592,0
IA_SD,2022,0,0
IA_WI,2022,0,0
ID_MT,2022,0,0
ID_NV,1990,124440,0
ID_NV,1991,0,124440
ID_NV,1994,163846,0
ID_NV,2022,0,0
ID_OR,1990,457317,0
ID_OR,1991,0,457317
ID_OR,1994,488427,0
ID_OR,1995,10370,0
ID_OR,2022,0,0
ID_UT,1990,378505,0
ID_UT,1991,0,378505
ID_UT,1994,460428,0
ID_UT,2001,20740,0
ID_UT,2003,218807,0
ID_UT,2017,5185,0
ID_UT,2022,0,0
ID_WA,1990,1515057,0
ID_WA,1991,0,1515057
ID_WA,1994,2364360,0
ID_WA,1998,76738,0
ID_WA,2002,214659,0
ID_WA,2022,0,0
ID_WY,2022,0,0
IL_IN,1990,4490210,0
IL_IN,1991,0,4490210
IL_IN,1994,4737016,0
IL_IN,1997,138958,0
IL_IN,1999,114070,0
IL_IN,2000,746640,0
IL_IN,2001,787083,0
IL_IN,2002,653310,0
IL_IN,2003,251991,0
IL_IN,2006,134810,0
IL_IN,2007,254065,0
IL_IN,2009,1975485,0
IL_IN,2010,155550,0
IL_IN,2022,0,0
IL_KY,1990,1865563,0
IL_KY,1991,0,1865563
IL_KY,1994,1865563,0
IL_KY,2001,0,264435
IL_KY,2022,0,0
IL_MO,1990,4022523,0
IL_MO,1991,0,4022523
IL_MO,1994,4238219,0
IL_MO,2009,1866600,0
IL_MO,2022,0,0
IL_WI,1990,1657126,0
IL_WI,1991,0,1657126
IL_WI,1994,1657126,0
IL_WI,1995,39406,0
IL_WI,1996,22814,0
IL_WI,1999,154513,0
IL_WI,2000,197030,0
IL_WI,2002,777750,0
IL_WI,2006,44591,0
IL_WI,2009,556869,0
IL_WI,2022,292434,0
IN_KY,1990,3617056,0
IN_KY,1991,0,3617056
IN_KY,1994,3691720,0
IN_KY,2016,55998,0
IN_KY,2022,0,0
IN_MI,1990,2037705,0
IN_MI,1991,0,2037705
IN_MI,1994,2187033,0
IN_MI,1997,155550,0
IN_MI,2000,746640,0
IN_MI,2002,290360,0
IN_MI,2007,254065,0
IN_MI,2009,108885,0
IN_MI,2022,0,0
IN_OH,1990,4766052,0
IN_OH,1991,0,4766052
IN_OH,1994,4915380,0
IN_OH,1995,259250,0
IN_OH,1998,316285,0
IN_OH,2009,1866600,0
IN_OH,2022,0,0
KS_MO,1990,2704496,0
KS_MO,1991,0,2704496
KS_MO,1994,2676497,0
KS_MO,1997,286212,0
KS_MO,2001,148291,0
KS_MO,2003,69479,0
KS_MO,2004,69479,0
KS_MO,2007,0,51850
KS_MO,2008,1607350,0
KS_MO,2009,311100,0
KS_MO,2022,0,0
KS_NE,1990,4728720,0
KS_NE,1991,0,4728720
KS_NE,1994,4286958,0
KS_NE,1997,50813,0
KS_NE,2002,93330,0
KS_NE,2007,33184,0
KS_NE,2022,0,0
KS_OK,1990,6323626,0
KS_OK,1991,0,6323626
KS_OK,1994,6230296,0
KS_OK,2007,0,51850
KS_OK,2008,51850,0
KS_OK,2022,0,0
KY_MO,2022,0,0
KY_OH,1990,4210220,0
KY_OH,1991,0,4210220
KY_OH,1994,4318068,0
KY_OH,2017,81923,0
KY_OH,2022,0,0
KY_TN,1990,14360376,0
KY_TN,1991,0,14360376
KY_TN,1994,13008128,0
KY_TN,1999,318359,0
KY_TN,2001,0,264435
KY_TN,2022,0,0
KY_VA,1990,51850,0
KY_VA,1991,0,51850
KY_VA,1994,51850,0
KY_VA,2022,0,0
KY_WV,1990,2629832,0
KY_WV,1991,0,2629832
KY_WV,1994,2629832,0
KY_WV,1999,318359,0
KY_WV,2022,1228845,0
LA_MS,1990,13440557,0
LA_MS,1991,0,13440557
LA_MS,1994,13961131,0
LA_MS,1995,386801,0
LA_MS,1996,160735,0
LA_MS,1999,320433,0
LA_MS,2001,295545,0
LA_MS,2002,238510,0
LA_MS,2003,470798,0
LA_MS,2004,54961,0
LA_MS,2008,2945080,0
LA_MS,2009,1589721,0
LA_MS,2010,586942,0
LA_MS,2011,373320,0
LA_MS,2015,46665,0
LA_MS,2022,306952,0
LA_TX,1990,6127840.4,0
LA_TX,1991,0,6127840.4
LA_TX,1994,6161957.7,0
LA_TX,1996,147254,0
LA_TX,1997,20740,0
LA_TX,1998,0,202215
LA_TX,1999,347395,0
LA_TX,2000,10370,0
LA_TX,2003,3111,0
LA_TX,2005,82960,0
LA_TX,2006,126514,0
LA_TX,2007,1983781,0
LA_TX,2008,2297992,0
LA_TX,2009,3483283,0
LA_TX,2010,2208810,0
LA_TX,2011,2592396.3,0
LA_TX,2022,0,0
MA_NH,1990,97478,0
MA_NH,1991,0,97478
MA_NH,1994,109922,0
MA_NH,1999,499834,0
MA_NH,2001,41480,0
MA_NH,2009,212585,0
MA_NH,2022,254065,0
MA_NY,1990,777750,0
MA_NY,1991,0,777750
MA_NY,1994,1098183,0
MA_NY,2007,114070,0
MA_NY,2022,0,0
MA_RI,1990,689605,0
MA_RI,1991,0,689605
MA_RI,1994,731085,0
MA_RI,2016,354654,0
MA_RI,2017,41480,0
MA_RI,2022,96441,0
MA_VT,2022,0,0
MD_PA,1990,2498133,0
MD_PA,1991,0,2498133
MD_PA,1994,2702422,0
MD_PA,2008,725900,0
MD_PA,2022,958188,0
MD_VA,1990,3157665,0
MD_VA,1991,0,3157665
MD_VA,1994,3331881,0
MD_VA,1995,606645,0
MD_VA,1997,55998,0
MD_VA,1998,13481,0
MD_VA,2005,449021,0
MD_VA,2007,171105,0
MD_VA,2008,725900,0
MD_VA,2016,136884,0
MD_VA,2017,110959,0
MD_VA,2022,518500,0
MD_WV,1990,5185,0
MD_WV,1991,0,5185
MD_WV,1994,5185,0
MD_WV,2022,0,0
ME_NH,1990,24888,0
ME_NH,1991,0,24888
ME_NH,1994,64294,0
ME_NH,1999,577609,0
ME_NH,2001,41480,0
ME_NH,2002,184586,0
ME_NH,2003,39406,0
ME_NH,2009,212585,0
ME_NH,2022,289323,0
MI_OH,1990,1962004,0
MI_OH,1991,0,1962004
MI_OH,1994,1962004,0
MI_OH,2022,3235440,0
MI_WI,1990,2294881,0
MI_WI,1991,0,2294881
MI_WI,1994,2939895,0
MI_WI,1998,130662,0
MI_WI,2006,129625,0
MI_WI,2022,0,0
MN_ND,1990,26962,0
MN_ND,1991,0,26962
MN_ND,1994,65331,0
MN_ND,2000,1627053,0
MN_ND,2002,174216,0
MN_ND,2005,77775,0
MN_ND,2022,0,0
MN_SD,1990,1278621,0
MN_SD,1991,0,1278621
MN_SD,1994,1736975,0
MN_SD,1998,725900,0
MN_SD,2022,0,0
MN_WI,1990,2308362,0
MN_WI,1991,0,2308362
MN_WI,1994,2744939,0
MN_WI,1997,64294,0
MN_WI,1998,130662,0
MN_WI,1999,29036,0
MN_WI,2007,13481,0
MN_WI,2022,0,0
MO_NE,1990,632570,0
MO_NE,1991,0,632570
MO_NE,1994,718641,0
MO_NE,2022,0,0
MO_OK,1990,48739,0
MO_OK,1991,0,48739
MO_OK,1994,48739,0
MO_OK,1999,8296,0
MO_OK,2006,25925,0
MO_OK,2022,0,0
MO_TN,2022,0,0
MS_TN,1990,9792391,0
MS_TN,1991,0,9792391
MS_TN,1994,10103491,0
MS_TN,1999,318359,0
MS_TN,2000,243695,0
MS_TN,2001,0,265472
MS_TN,2022,0,0
MT_ND,1990,1247511,0
MT_ND,1991,0,1247511
MT_ND,1994,1851045,0
MT_ND,1998,725900,0
MT_ND,2003,82960,0
MT_ND,2007,42517,0
MT_ND,2008,42517,0
MT_ND,2009,77775,0
MT_ND,2011,494649,0
MT_ND,2022,0,0
MT_SD,2022,0,0
MT_WY,1990,182512,0
MT_WY,1991,0,182512
MT_WY,1994,278953,0
MT_WY,1998,54961,0
MT_WY,2000,41480,0
MT_WY,2003,97478,0
MT_WY,2008,42517,0
MT_WY,2011,494649,0
MT_WY,2022,0,0
NC_SC,1990,2885971,0
NC_SC,1991,0,2885971
NC_SC,1994,2936784,0
NC_SC,1995,119255,0
NC_SC,1996,57035,0
NC_SC,1997,150365,0
NC_SC,2002,238510,0
NC_SC,2003,271694,0
NC_SC,2004,54961,0
NC_SC,2011,227103,0
NC_SC,2012,98515,0
NC_SC,2022,306952,0
NC_TN,2022,0,0
NC_VA,1990,2511614,0
NC_VA,1991,0,2511614
NC_VA,1994,2563464,0
NC_VA,1995,119255,0
NC_VA,2002,238510,0
NC_VA,2004,54961,0
NC_VA,2007,171105,0
NC_VA,2022,395097,0
ND_SD,1990,1312842,0
ND_SD,1991,0,1312842
ND_SD,1994,1792973,0
ND_SD,1998,725900,0
ND_SD,2022,0,0
NE_SD,1990,129625,0
NE_SD,1991,0,129625
NE_SD,1994,129625,0
NE_SD,2022,0,0
NE_WY,1990,543388,0
NE_WY,1991,0,543388
NE_WY,1994,525759,0
NE_WY,1997,373320,0
NE_WY,2002,335988,0
NE_WY,2008,1555500,0
NE_WY,2009,311100,0
NE_WY,2014,0,264435
NE_WY,2022,0,0
NH_VT,2022,0,0
NJ_NY,1990,3008337,0
NJ_NY,1991,0,3008337
NJ_NY,1994,3168035,0
NJ_NY,2001,311100,0
NJ_NY,2002,262361,0
NJ_NY,2007,103700,0
NJ_NY,2013,829600,0
NJ_NY,2014,103700,0
NJ_NY,2016,354654,0
NJ_NY,2017,160735,0
NJ_NY,2022,96441,0
NJ_PA,1990,6785091,0
NJ_PA,1991,0,6785091
NJ_PA,1994,7291147,0
NJ_PA,1995,128588,0
NJ_PA,1996,25925,0
NJ_PA,1998,16592,0
NJ_PA,2001,167994,0
NJ_PA,2002,366061,0
NJ_PA,2003,50813,0
NJ_PA,2005,108885,0
NJ_PA,2006,104737,0
NJ_PA,2007,259250,0
NJ_PA,2008,197030,0
NJ_PA,2009,64294,0
NJ_PA,2011,362950,0
NJ_PA,2013,918782,0
NJ_PA,2014,725900,0
NJ_PA,2015,167994,0
NJ_PA,2017,119255,0
NJ_PA,2022,0,0
NM_OK,2022,0,0
NM_TX,1990,3777791,0
NM_TX,1991,0,3777791
NM_TX,1994,4049485,0
NM_TX,1996,119255,0
NM_TX,2002,238510,0
NM_TX,2004,331840,0
NM_TX,2022,468724,0
NM_UT,2022,0,0
NV_OR,2011,1555500,0
NV_OR,2022,0,0
NV_UT,1994,803675,0
NV_UT,2001,139995,0
NV_UT,2003,1165588,0
NV_UT,2010,150365,0
NV_UT,2011,1831342,0
NV_UT,2022,0,0
NY_PA,1990,3323585,0
NY_PA,1991,0,3323585
NY_PA,1994,3466691,0
NY_PA,1997,0,558943
NY_PA,2006,505019,0
NY_PA,2011,699975,0
NY_PA,2012,435540,0
NY_PA,2015,155550,0
NY_PA,2017,116144,0
NY_PA,2022,352580,0
NY_VT,2022,0,0
OH_PA,1990,2221254,0
OH_PA,1991,0,2221254
OH_PA,1994,2221254,0
OH_PA,2016,29036,0
OH_PA,2022,212585,0
OH_WV,1990,2542724,0
OH_WV,1991,0,2542724
OH_WV,1994,2785382,0
OH_WV,1995,45628,0
OH_WV,1996,25925,0
OH_WV,2008,155550,0
OH_WV,2009,155550,0
OH_WV,2010,155550,0
OH_WV,2011,155550,0
OH_WV,2015,207400,0
OH_WV,2016,1514020,0
OH_WV,2017,663680,0
OH_WV,2022,3971710,0
OK_TX,1990,4471544,0
OK_TX,1991,0,4471544
OK_TX,1994,4641612,0
OK_TX,1996,20740,0
OK_TX,2005,25925,0
OK_TX,2006,20740,0
OK_TX,2009,2122739,0
OK_TX,2010,311100,0
OK_TX,2022,414800,0
OR_WA,1990,2486726,0
OR_WA,1991,0,2486726
OR_WA,1994,3457358,0
OR_WA,1995,5185,0
OR_WA,1998,76738,0
OR_WA,2002,214659,0
OR_WA,2022,0,0
PA_WV,1990,4639538,0
PA_WV,1991,0,4639538
PA_WV,1994,4686203,0
PA_WV,1995,46665,0
PA_WV,1996,25925,0
PA_WV,1997,97478,0
PA_WV,1998,33184,0
PA_WV,2002,103700,0
PA_WV,2004,225029,0
PA_WV,2006,54961,0
PA_WV,2007,49776,0
PA_WV,2008,155550,0
PA_WV,2009,155550,0
PA_WV,2010,79849,0
PA_WV,2012,1252696,0
PA_WV,2014,191845,0
PA_WV,2022,1257881,0
SD_WY,1990,46665,0
SD_WY,1991,0,46665
SD_WY,1994,46665,0
SD_WY,1998,41480,0
SD_WY,2022,0,0
TN_VA,1990,13481,0
TN_VA,1991,0,13481
TN_VA,1994,15555,0
TN_VA,1996,11407,0
TN_VA,1997,24888,0
TN_VA,2006,20740,0
TN_VA,2011,155550,0
TN_VA,2022,0,0
UT_WY,1990,1535797,0
UT_WY,1991,0,1535797
UT_WY,1994,2396507,0
UT_WY,1996,21777,0
UT_WY,1998,138958,0
UT_WY,2001,181475,0
UT_WY,2003,1370914,0
UT_WY,2010,150365,0
UT_WY,2011,1831342,0
UT_WY,2017,0,51850
UT_WY,2022,0,0
VA_WV,1990,1763937,0
VA_WV,1991,0,1763937
